origin_hostname,origin_country,origin_city,origin_isp,origin_public_ip,origin_geo_status,origin_lat,origin_lon,os_description,python_version,openssl_version,label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,dest_city,dest_lat,dest_lon,started,finished
trusty3,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,"Ubuntu 24.04.4 LTS (WSL), kernel 6.6.87.1-microsoft-standard-WSL2",3.14.5,OpenSSL 3.6.2 7 Apr 2026,BSC_1GB,verified,https://esgf.bsc.es/thredds/fileServer/esg_dataroot/a1u8-CMIP-r20/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/day/hur/gr/v20210303/hur_day_EC-Earth3_historical_r20i1p1f1_gr_18500101-18501231.nc,esgf.bsc.es,1341138713,1341138713,True,1,0,0,2666.72,2665.599592011,0.48,True,0.0033,0.2614,0.5268,0.3261,84.88.53.197,TLSv1.2,esgf.bsc.es,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),Anella Cientifica Value-Added Services,Spain,Barcelona,41.3874257,2.1685741,2026-07-22T12:58:46.420419+00:00,2026-07-22T13:43:12.815797+00:00
trusty3,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,"Ubuntu 24.04.4 LTS (WSL), kernel 6.6.87.1-microsoft-standard-WSL2",3.14.5,OpenSSL 3.6.2 7 Apr 2026,CEDA_1GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.ceda.ac.uk,1110603079,1110603079,True,1,0,0,2741.55,2739.67974219,0.387,True,0.003,0.2962,0.9685,0.5996,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),Science Technology Facilities Council,United Kingdom,Didcot,51.6092802,-1.2421371,2026-07-22T13:43:13.887601+00:00,2026-07-22T14:28:55.529463+00:00
trusty3,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,"Ubuntu 24.04.4 LTS (WSL), kernel 6.6.87.1-microsoft-standard-WSL2",3.14.5,OpenSSL 3.6.2 7 Apr 2026,DKRZ_1GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf3.dkrz.de,1110603079,1110603079,True,1,0,0,132.16,130.52721029699933,8.114,True,0.0046,0.2984,0.3033,1.022,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),Deutsches Klimarechenzentrum GmbH,Germany,Hamburg,53.5488413,9.9871663,2026-07-22T14:28:58.094281+00:00,2026-07-22T14:31:10.345200+00:00
trusty3,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,"Ubuntu 24.04.4 LTS (WSL), kernel 6.6.87.1-microsoft-standard-WSL2",3.14.5,OpenSSL 3.6.2 7 Apr 2026,IPSL_1GB,verified,https://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/E3hrPt/o3/gr/v20240619/o3_E3hrPt_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001010300-185101010000.nc,vesg.ipsl.upmc.fr,1384821748,1384821748,True,1,0,0,162.74,161.2312160800011,8.191,True,0.0028,0.2856,0.5595,0.6493,134.157.240.12,TLSv1.2,vesg.ipsl.upmc.fr,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),Universite Pierre Et Marie Curie,France,Paris,48.8534113,2.3487886,2026-07-22T14:31:12.521090+00:00,2026-07-22T14:33:55.360791+00:00
trusty3,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,"Ubuntu 24.04.4 LTS (WSL), kernel 6.6.87.1-microsoft-standard-WSL2",3.14.5,OpenSSL 3.6.2 7 Apr 2026,NCI_1GB,verified,https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.nci.org.au,1110603079,1110603079,True,1,0,0,56.97,56.60295730500002,18.712,True,0.0027,0.0612,0.0652,0.2284,130.56.243.38,TLSv1.3,esgf.nci.org.au,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),Australian National University,Australia,Canberra,-35.2834619,149.1280667,2026-07-22T14:33:55.963916+00:00,2026-07-22T14:34:53.024693+00:00
trusty3,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,"Ubuntu 24.04.4 LTS (WSL), kernel 6.6.87.1-microsoft-standard-WSL2",3.14.5,OpenSSL 3.6.2 7 Apr 2026,NORESG_1GB,complete_unverified,https://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorCPM1/historical/r4i1p1f1/Amon/hus/gn/v20200724/hus_Amon_NorCPM1_historical_r4i1p1f1_gn_185001-201412.nc,noresg.nird.sigma2.no,1249487683,1249487683,True,1,0,0,80.79,79.2091157599989,15.044,,0.0031,0.2468,0.7994,0.5287,158.36.102.245,TLSv1.3,,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),UNINETT,Norway,Oslo,59.9126738,10.7461747,2026-07-22T14:34:56.015592+00:00,2026-07-22T14:36:16.904718+00:00
trusty3,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,"Ubuntu 24.04.4 LTS (WSL), kernel 6.6.87.1-microsoft-standard-WSL2",3.14.5,OpenSSL 3.6.2 7 Apr 2026,LIU_1GB,verified,https://esg-dn1.nsc.liu.se/thredds/fileServer/esg_dataroot10/cmip6data/20250305_smhi_req00232/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-HR/historical/r1i1p1f1/Omon/so/gn/v20250225/so_Omon_EC-Earth3-HR_historical_r1i1p1f1_gn_185101-185112.nc,esg-dn1.nsc.liu.se,1692839176,1692839176,True,1,0,0,213.93,212.62784115899922,7.593,True,0.0029,0.3126,0.6273,0.3474,130.236.100.123,TLSv1.2,esg-dn1.nsc.liu.se,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),Linkopings Universitet,Sweden,Linkoping,58.4108761,15.6216098,2026-07-22T14:36:19.275688+00:00,2026-07-22T14:39:53.312615+00:00
trusty3,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,"Ubuntu 24.04.4 LTS (WSL), kernel 6.6.87.1-microsoft-standard-WSL2",3.14.5,OpenSSL 3.6.2 7 Apr 2026,ORNL_1GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf-node.ornl.gov,1110603079,1110603079,True,1,0,0,4450.18,4448.243229690001,0.238,True,0.0026,0.2566,0.8505,0.8156,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),Oak Ridge National Laboratory,United States,Oak Ridge,36.0103581,-84.2696351,2026-07-22T14:39:54.546430+00:00,2026-07-22T15:54:04.810913+00:00
trusty3,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,"Ubuntu 24.04.4 LTS (WSL), kernel 6.6.87.1-microsoft-standard-WSL2",3.14.5,OpenSSL 3.6.2 7 Apr 2026,ANL-GLOBUS_1GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-52ba3.fd635.8443.data.globus.org,,1110603079,True,1,0,0,62.51,61.009968817999834,17.36,True,0.0029,0.2551,0.2616,0.9711,140.221.68.106,TLSv1.3,dtn-05.pub.alcf.anl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),Argonne National Laboratory,United States,Naperville,41.7057317,-88.1945679,2026-07-22T15:54:06.033909+00:00,2026-07-22T15:55:08.631557+00:00
trusty3,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,"Ubuntu 24.04.4 LTS (WSL), kernel 6.6.87.1-microsoft-standard-WSL2",3.14.5,OpenSSL 3.6.2 7 Apr 2026,NERSC-GLOBUS_1GB,failed,https://g-eba899.6b7bd8.0ec8.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-eba899.6b7bd8.0ec8.data.globus.org,,0,,6,0,0,130.1,0.0,,,0.0031,0.2104,0.4733,0.4603,128.55.200.27,TLSv1.3,dtn-ro-new.nersc.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),ESnet,United States,San Francisco,37.7879363,-122.4075201,2026-07-22T15:55:09.855711+00:00,2026-07-22T15:57:19.951401+00:00
